title,category,reward
"한 권으로 떠나는 여행, 천 년의 역사가 담긴 다채로운 <한국의 파랑>",출판,1578%
[마지막앵콜]취업 준비생들을 위한 스피킹을 해결해주는 1시간 영문법,출판,2%
이시형 박사가 추천하는 면역증진 다이어트 키친,출판,68%
"세계 최초 새소리 악보집, <야생 숲의 노트> 한국어판 출간 프로젝트",출판,314%
오일 파스텔 플라워 드로잉을 꿈꾸는 당신을 위한 책과 화원 오일 파스텔,출판,2930%
[2.7억|앵콜]한 권으로 배우는 프로의 다이닝! 모더니스트 퀴진 앳 홈,출판,19752%
[텐베거 투자 비법서] 국내 주식으로 10배 수익?! 가능합니다!,출판,3571%
무조건 다음 편을 보게 하는 스토리 창작의 비밀! #마법의 작법서,출판,77%
"당신을 위한 치즈 사전, Cheese In My Fridge",출판,845%
[사인 포스트 유언장] 보안과 법적 효력을 모두 담은 유언 작성 키트,출판,76%
평범하지만 찬란한 모든 청춘에게 : 에세이 <뭐라도 되겠죠>,출판,413%
[충격 4.9점] 직장인 영어 회화 / OPIC 영국식 영어 발음으로,출판,11540%
채식을 통한 내 삶의 변화를 파워 업 하는 비밀,출판,20%
200년 전 조선왕조 르네상스의 한 순간을 소장하다 <반차도>,출판,2123%
아무도 가르쳐 주지 않는 건강 습관의 비밀,출판,21%
출판에서 자격증 그리고 강사 경험까지 하나로 담다,출판,2%
세상에서 가장 간단한 영어의 원리를 풀어준 영어 문법의 신세계,출판,160%
전쟁과 평화 정기간행물 제2호 (이순신편),출판,0%
[직장인 투잡] 하루 1시간 수익 파이프라인 만들기 - 티스토리 블로그,출판,8613%
코인투자로 올드앤리치: 차트말고 스캠말고 똑똑하게 장기투자 하는 법,출판,21%
언어학자 김용태가 발명한 오감학습법 - 영어 어휘 습득법,출판,285%
[부동산투자] 700만원으로 아파트 산 김사원 이야기,출판,2397%
1시간으로 끝내는 대학생과 직장인 영어공부 혼자하기용 궁극의 가이드북,출판,1426%
"안데르센 동화 다시 쓰기 ""미운오리새끼"" 빅북 +컬러링 빅북",출판,5%
"사진과 시가 만나는 순간, 보스토크 매거진 특별호",출판,133%
[N잡/월1억인증] 부업으로 시작해 7주만에 퇴사각?스마트스토어 창업비법,출판,7537%
[평점5]왕초보를 위한 캠핑용품으로 배우는 영문법(벚꽃에디션),출판,3%
"[누적 1억 판매] 하루 10분, PDF 파일로 매달 월급만큼 벌기",출판,11947%
5.0 만점ㅣ영포자가 영어 독해 상위 1%가 된 시크릿!,출판,610%
"우울증에 걸린 나의 이야기, ""A의 다이어리""",출판,12%
책쓰기 공식 : 출판하는 법 & 책써서 돈버는 법,출판,155%
[청년 귀촌 이야기] 도시 아닌 시골에서 탄생한 새로운 삶의 형태,출판,147%
[창의력 쏙쏙 우뇌학습] 디폼블럭 도안책으로 '한글 공부하자!',출판,15%
[NFT 수익화 핵심 비법서] NFT 부의 마지막 기회!,출판,23464%
[10점 만점에 1000점] 비교불가! 내 인생 최고의 명화집! 마리갤!,출판,132%
뮤직드라마와 함께 읽는 감성집 <초록의 막장>,출판,32%
"[한정판] 내셔널지오그래픽 역대최초의 시리즈, 위대한 발견편",출판,15%
음악 레슨과 연습을 효율적으로 만들어주는 데일리 뮤직 플래너!,출판,0%
"""진실의 눈으로 세상을 본다는 것"" 생활철학잡지 <뉴필로소퍼>",출판,165%
성공 마인드를 장착하라! '데일 카네기'의 100일 성공확언,출판,151%
"MZ세대, 정치 개혁을 외치다! [책] 우리나라는 정치만 잘 하면 된다",출판,102%
스피디한 작업 기반의 파워포인트 작업 부업으로 월 100만원 벌기,출판,108%
[퇴근후1시간]누구나 할 수 있는 돈버는 전자책 종이책 강연까지,출판,3899%
[2022년 이직시즌] 성공 이직을 위한 '이직 성공 풀패키지',출판,0%
[5.0만점|1.7억] 그.. 마법의책? 하루1시간 블로그로 대기업퇴사!,출판,43349%
"<강남놀부> 세상은 가진 자와 없는 자, 둘뿐이다. 형제 같은 건 없다.",출판,376%
누구나 쉽게 나만의 곡 만드는 노하우 [누.나.곡],출판,127%
"디지털 노마드를 위한 지침서, WorkLifeBlending",출판,1025%
